Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area,X,Y,Z_est,Distance_3D,Distance_RealSense,X_rel,Y_rel,Z_rel,Fixed_Angle
2025-05-29 20:16:04.162,1,163,438,189,467,0.01,754,-144,64,9.12,157.85,4.895,-144.00,64.00,9.12,-156.04
2025-05-29 20:16:04.666,2,263,451,273,464,0.93,130,-52,-28,22.12,63.06,5.012,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:04.852,3,263,451,273,464,0.93,130,-52,-28,22.12,63.06,5.058,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:05.020,4,263,451,273,464,0.92,130,-52,-28,22.12,63.06,5.092,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:05.180,5,263,452,273,464,0.92,120,-52,-28,22.92,63.35,5.034,-52.00,-28.00,22.92,151.70
2025-05-29 20:16:05.353,6,263,452,273,464,0.92,120,-52,-28,22.92,63.35,4.946,-52.00,-28.00,22.92,151.70
2025-05-29 20:16:05.533,7,263,452,273,464,0.93,120,-52,-28,22.92,63.35,5.091,-52.00,-28.00,22.92,151.70
2025-05-29 20:16:05.710,8,263,451,273,464,0.92,130,-52,-28,22.12,63.06,4.966,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:05.914,9,263,451,273,464,0.92,130,-52,-28,22.12,63.06,5.009,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:06.104,10,263,452,273,464,0.91,120,-52,-28,6.50,59.42,4.982,-52.00,-28.00,6.50,151.70
2025-05-29 20:16:06.324,11,263,451,273,464,0.92,130,-52,-28,22.12,63.06,4.991,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:06.493,12,263,451,273,464,0.92,130,-52,-28,22.12,63.06,4.957,-52.00,-28.00,22.12,151.70
2025-05-29 20:16:06.689,13,263,451,273,464,0.92,130,-52,-28,22.12,63.06,5.054,-52.00,-28.00,22.12,151.70
