Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area,X,Y,Z_est,Distance_3D,Distance_RealSense,X_rel,Y_rel,Z_rel,Fixed_Angle
2025-05-30 09:34:26.267,1,476,151,498,166,0.42,330,167,-247,14.02,298.49,10.745,167.00,-247.00,14.02,55.94
2025-05-30 09:34:26.484,2,417,445,428,460,0.67,165,102,-182,19.70,209.56,4.735,102.00,-182.00,19.70,60.73
2025-05-30 09:34:26.573,3,514,449,524,462,0.79,130,199,-279,22.12,343.41,4.647,199.00,-279.00,22.12,54.50
2025-05-30 09:34:26.657,4,514,450,524,462,0.80,120,199,-279,22.92,343.46,4.578,199.00,-279.00,22.92,54.50
2025-05-30 09:34:26.721,5,514,449,524,462,0.78,130,199,-279,22.12,343.41,4.677,199.00,-279.00,22.12,54.50
2025-05-30 09:34:26.786,6,418,445,429,459,0.73,154,103,-183,20.29,210.97,4.714,103.00,-183.00,20.29,60.63
2025-05-30 09:34:26.852,7,418,445,429,460,0.78,165,103,-183,19.70,210.92,4.721,103.00,-183.00,19.70,60.63
2025-05-30 09:34:26.922,8,514,449,524,462,0.83,130,199,-279,22.12,343.41,4.593,199.00,-279.00,22.12,54.50
2025-05-30 09:34:27.012,9,514,449,524,462,0.81,130,199,-279,22.12,343.41,4.606,199.00,-279.00,22.12,54.50
2025-05-30 09:34:27.073,10,514,449,524,462,0.82,130,199,-279,4.67,342.73,4.645,199.00,-279.00,4.67,54.50
2025-05-30 09:34:27.142,11,418,445,428,460,0.81,150,103,-183,20.83,211.03,4.822,103.00,-183.00,20.83,60.63
2025-05-30 09:34:27.229,12,418,445,429,460,0.81,165,103,-183,19.70,210.92,4.953,103.00,-183.00,19.70,60.63
2025-05-30 09:34:27.320,13,418,445,428,460,0.78,150,103,-183,20.83,211.03,4.839,103.00,-183.00,20.83,60.63
2025-05-30 09:34:27.388,14,418,445,429,459,0.82,154,103,-183,20.29,210.97,4.785,103.00,-183.00,20.29,60.63
2025-05-30 09:34:27.451,15,418,445,428,460,0.81,150,103,-183,20.83,211.03,4.789,103.00,-183.00,20.83,60.63
2025-05-30 09:34:27.513,16,417,445,428,460,0.82,165,102,-182,19.70,209.56,4.741,102.00,-182.00,19.70,60.73
2025-05-30 09:34:27.575,17,418,445,429,460,0.81,165,103,-183,19.70,210.92,4.833,103.00,-183.00,19.70,60.63
2025-05-30 09:34:27.656,18,418,445,429,460,0.81,165,103,-183,19.70,210.92,4.975,103.00,-183.00,19.70,60.63
2025-05-30 09:34:27.718,19,418,445,428,460,0.82,150,103,-183,20.83,211.03,4.816,103.00,-183.00,20.83,60.63
2025-05-30 09:34:27.783,20,417,445,428,460,0.82,165,102,-182,4.90,208.69,4.766,102.00,-182.00,4.90,60.73
2025-05-30 09:34:27.845,21,418,445,428,460,0.80,150,103,-183,20.83,211.03,4.826,103.00,-183.00,20.83,60.63
2025-05-30 09:34:27.913,22,418,445,429,459,0.80,154,103,-183,20.29,210.97,4.949,103.00,-183.00,20.29,60.63
2025-05-30 09:34:27.984,23,418,445,428,460,0.83,150,103,-183,20.83,211.03,4.725,103.00,-183.00,20.83,60.63
2025-05-30 09:34:28.058,24,514,449,524,462,0.81,130,199,-279,22.12,343.41,4.618,199.00,-279.00,22.12,54.50
2025-05-30 09:34:28.133,25,514,449,524,462,0.82,130,199,-279,22.12,343.41,4.613,199.00,-279.00,22.12,54.50
2025-05-30 09:34:28.212,26,418,445,429,460,0.82,165,103,-183,19.70,210.92,4.852,103.00,-183.00,19.70,60.63
2025-05-30 09:34:28.289,27,514,449,524,462,0.80,130,199,-279,22.12,343.41,4.615,199.00,-279.00,22.12,54.50
2025-05-30 09:34:28.364,28,418,445,429,460,0.81,165,103,-183,19.70,210.92,4.871,103.00,-183.00,19.70,60.63
