Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area,X,Y,Z_est,Distance_3D,Distance_RealSense,X_rel,Y_rel,Z_rel,Fixed_Angle
2025-05-30 09:38:26.217,1,476,150,497,166,0.39,336,166,-246,13.76,297.09,10.503,166.00,-246.00,13.76,55.99
2025-05-30 09:38:26.394,2,475,150,498,169,0.34,437,166,-246,12.01,297.01,10.263,166.00,-246.00,12.01,55.99
2025-05-30 09:38:26.465,3,475,150,498,168,0.42,414,166,-246,12.38,297.03,9.942,166.00,-246.00,12.38,55.99
2025-05-30 09:38:26.551,4,475,150,498,169,0.41,437,166,-246,12.01,297.01,9.887,166.00,-246.00,12.01,55.99
2025-05-30 09:38:26.636,5,208,274,233,301,0.57,675,-100,20,9.63,102.43,16.016,-100.00,20.00,9.63,-168.69
2025-05-30 09:38:26.703,6,208,275,232,302,0.58,648,-100,20,9.84,102.45,16.675,-100.00,20.00,9.84,-168.69
2025-05-30 09:38:26.786,7,210,275,231,302,0.56,567,-100,20,10.58,102.53,16.249,-100.00,20.00,10.58,-168.69
2025-05-30 09:38:26.868,8,208,276,231,303,0.48,621,-101,21,10.06,103.65,16.050,-101.00,21.00,10.06,-168.25
2025-05-30 09:38:26.931,9,209,276,231,303,0.49,594,-100,20,10.31,102.50,15.822,-100.00,20.00,10.31,-168.69
2025-05-30 09:38:27.004,10,208,276,232,303,0.49,648,-100,20,5.94,102.15,16.462,-100.00,20.00,5.94,-168.69
2025-05-30 09:38:27.090,11,208,276,231,303,0.52,621,-101,21,10.06,103.65,16.241,-101.00,21.00,10.06,-168.25
2025-05-30 09:38:27.160,12,475,150,498,169,0.41,437,166,-246,12.01,297.01,10.196,166.00,-246.00,12.01,55.99
2025-05-30 09:38:27.239,13,208,275,232,303,0.45,672,-100,20,9.67,102.44,16.624,-100.00,20.00,9.67,-168.69
2025-05-30 09:38:27.322,14,475,150,498,169,0.43,437,166,-246,12.01,297.01,9.920,166.00,-246.00,12.01,55.99
2025-05-30 09:38:27.397,15,209,274,232,302,0.47,644,-100,20,9.90,102.46,15.907,-100.00,20.00,9.90,-168.69
2025-05-30 09:38:27.465,16,208,274,232,302,0.58,672,-100,20,9.67,102.44,16.408,-100.00,20.00,9.67,-168.69
2025-05-30 09:38:27.534,17,208,272,233,302,0.58,750,-100,20,9.17,102.39,16.102,-100.00,20.00,9.17,-168.69
2025-05-30 09:38:27.605,18,221,272,234,300,0.38,364,-93,13,14.08,94.95,15.928,-93.00,13.00,14.08,-172.04
2025-05-30 09:38:27.688,19,475,150,498,170,0.38,460,166,-246,11.68,297.00,9.582,166.00,-246.00,11.68,55.99
2025-05-30 09:38:27.751,20,475,150,498,169,0.44,437,166,-246,5.27,296.82,10.588,166.00,-246.00,5.27,55.99
2025-05-30 09:38:27.820,21,475,150,498,168,0.42,414,166,-246,12.38,297.03,9.760,166.00,-246.00,12.38,55.99
2025-05-30 09:38:27.905,22,476,150,496,175,0.39,500,166,-246,11.25,296.98,11.227,166.00,-246.00,11.25,55.99
2025-05-30 09:38:27.985,23,475,150,498,170,0.36,460,166,-246,11.68,297.00,10.356,166.00,-246.00,11.68,55.99
