Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area,X,Y,Z_est,Distance_3D,Distance_RealSense,X_rel,Y_rel,Z_rel,Fixed_Angle
2025-04-09 11:49:21.378,1,23,239,72,351,0.73,5488,-273,-55,7.51,278.59,7.506,-273.00,-55.00,7.51,168.61
2025-04-09 11:49:22.244,2,25,243,76,351,0.84,5508,-270,-57,7.53,276.05,7.532,-270.00,-57.00,7.53,168.08
2025-04-09 11:49:23.013,3,32,242,76,351,0.85,4796,-266,-56,7.48,271.93,7.477,-266.00,-56.00,7.48,168.11
2025-04-09 11:49:23.751,4,36,240,78,349,0.85,4578,-263,-54,7.63,268.59,7.626,-263.00,-54.00,7.63,168.40
2025-04-09 11:49:24.434,5,45,239,82,349,0.84,4070,-257,-54,7.46,262.72,7.459,-257.00,-54.00,7.46,168.13
2025-04-09 11:49:25.196,6,26,239,77,352,0.89,5763,-269,-55,7.56,274.67,7.564,-269.00,-55.00,7.56,168.44
2025-04-09 11:49:25.984,7,28,240,70,354,0.84,4788,-271,-57,7.14,277.02,7.141,-271.00,-57.00,7.14,168.12
2025-04-09 11:49:26.838,8,36,240,79,354,0.87,4902,-263,-57,7.22,269.20,7.218,-263.00,-57.00,7.22,167.77
2025-04-09 11:49:27.697,9,40,241,78,344,0.85,3914,-261,-52,7.54,266.24,7.542,-261.00,-52.00,7.54,168.73
2025-04-09 11:49:28.606,10,22,241,61,339,0.78,3822,-279,-50,7.86,283.55,7.859,-279.00,-50.00,7.86,169.84
2025-04-09 11:49:29.420,11,0,244,23,290,0.69,1058,-309,-27,9.74,310.33,9.744,-309.00,-27.00,9.74,175.01
2025-04-09 11:49:33.100,16,298,295,325,330,0.61,945,-9,-72,6.95,72.89,6.949,-9.00,-72.00,6.95,97.13
2025-04-09 11:49:34.928,18,0,239,18,283,0.68,792,-311,-21,11.24,311.91,11.241,-311.00,-21.00,11.24,176.14
2025-04-09 11:49:37.832,22,0,239,12,284,0.64,540,-314,-21,12.47,314.95,12.469,-314.00,-21.00,12.47,176.17
2025-04-09 11:49:38.617,23,0,239,15,283,0.62,660,-313,-21,11.10,313.90,11.102,-313.00,-21.00,11.10,176.16
0,227,26,292,0.8137540221214294,8.767503361344538,1690
2025-04-09 11:53:19.630,36,0,227,26,292,0.81,1690,-307,-19,8.77,307.71,8.768,-307.00,-19.00,8.77,176.46
0,227,29,283,0.7395040392875671,9.578065387968614,1624
2025-04-09 11:53:20.560,37,0,227,29,283,0.74,1624,-306,-15,9.58,306.52,9.578,-306.00,-15.00,9.58,177.19
0,231,20,281,0.6089348196983337,10.335498475609757,1000
2025-04-09 11:53:21.514,38,0,231,20,281,0.61,1000,-310,-16,10.34,310.58,10.335,-310.00,-16.00,10.34,177.05
0,226,23,282,0.7402958273887634,9.896131487889274,1288
2025-04-09 11:53:22.549,39,0,226,23,282,0.74,1288,-309,-14,9.90,309.48,9.896,-309.00,-14.00,9.90,177.41
0,226,26,284,0.601387083530426,9.063195488721805,1508
2025-04-09 11:53:23.507,40,0,226,26,284,0.60,1508,-307,-15,9.06,307.50,9.063,-307.00,-15.00,9.06,177.20
489,188,639,479,0.9425507187843323,0.8629051330287557,43650
2025-04-09 11:53:24.527,41,489,188,639,479,0.94,43650,244,-93,0.86,261.12,0.863,244.00,-93.00,0.86,20.86
329,211,498,479,0.9526289701461792,2.609146119554733,45292
2025-04-09 11:53:25.469,42,329,211,498,479,0.95,45292,93,-105,2.61,140.29,2.609,93.00,-105.00,2.61,48.47
310,210,425,479,0.9475045204162598,2.9635651976202206,30935
2025-04-09 11:53:26.394,43,310,210,425,479,0.95,30935,47,-104,2.96,114.17,2.964,47.00,-104.00,2.96,65.68
319,211,428,479,0.9429728388786316,2.7270600688119813,29212
2025-04-09 11:53:27.396,44,319,211,428,479,0.94,29212,53,-105,2.73,117.65,2.727,53.00,-105.00,2.73,63.22
323,211,432,479,0.915051281452179,2.789747578324484,29212
2025-04-09 11:53:28.338,45,323,211,432,479,0.92,29212,57,-105,2.79,119.51,2.790,57.00,-105.00,2.79,61.50
313,212,419,479,0.9320067763328552,2.887108683151236,28302
2025-04-09 11:53:29.376,46,313,212,419,479,0.93,28302,46,-105,2.89,114.67,2.887,46.00,-105.00,2.89,66.34
318,212,422,479,0.9215431213378906,2.7520629192883037,27768
