Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth,source_file
2025-04-08 16:18:00.799,2,240,0,441,119,0.97,3.924,23919,3.5,realsense_detections3500
2025-04-08 16:18:01.594,3,241,0,441,119,0.97,3.931,23800,3.5,realsense_detections3500
2025-04-08 16:18:02.289,4,241,0,441,119,0.97,3.921,23800,3.5,realsense_detections3500
2025-04-08 16:18:02.901,5,240,0,442,120,0.97,3.922,24240,3.5,realsense_detections3500
2025-04-08 16:18:03.559,6,241,0,441,119,0.97,3.946,23800,3.5,realsense_detections3500
2025-04-08 16:18:04.239,7,241,0,441,119,0.97,3.921,23800,3.5,realsense_detections3500
2025-04-08 16:18:04.858,8,241,0,442,119,0.97,3.934,23919,3.5,realsense_detections3500
2025-04-08 16:18:05.470,9,241,0,442,119,0.97,3.953,23919,3.5,realsense_detections3500
2025-04-08 16:18:06.128,10,241,0,441,119,0.97,3.942,23800,3.5,realsense_detections3500
2025-04-08 16:18:06.800,11,240,0,442,120,0.97,3.939,24240,3.5,realsense_detections3500
2025-04-08 16:18:07.458,12,241,0,441,119,0.97,3.937,23800,3.5,realsense_detections3500
2025-04-08 16:18:08.149,13,241,0,442,119,0.97,3.941,23919,3.5,realsense_detections3500
2025-04-08 16:18:08.856,14,241,0,441,119,0.97,3.932,23800,3.5,realsense_detections3500
2025-04-08 16:18:09.622,15,241,0,441,119,0.97,3.911,23800,3.5,realsense_detections3500
2025-04-08 16:18:10.330,16,241,0,442,119,0.97,3.933,23919,3.5,realsense_detections3500
2025-04-08 16:18:10.973,17,231,0,431,120,0.97,4.049,24000,3.5,realsense_detections3500
2025-04-08 16:18:11.630,18,228,0,428,120,0.97,4.067,24000,3.5,realsense_detections3500
2025-04-08 16:18:12.295,19,218,0,417,119,0.97,4.147,23681,3.5,realsense_detections3500
2025-04-08 16:18:12.949,20,208,0,408,120,0.97,3.956,24000,3.5,realsense_detections3500
2025-04-08 16:18:13.545,21,210,0,410,120,0.97,4.05,24000,3.5,realsense_detections3500
2025-04-08 16:18:14.299,22,208,0,408,120,0.97,4.068,24000,3.5,realsense_detections3500
2025-04-08 16:18:14.959,23,210,0,409,120,0.97,3.985,23880,3.5,realsense_detections3500
2025-04-08 16:18:15.618,24,210,0,409,120,0.97,3.952,23880,3.5,realsense_detections3500
2025-04-08 16:18:16.321,25,209,0,409,120,0.97,4.015,24000,3.5,realsense_detections3500
2025-04-08 16:18:17.012,26,209,0,409,120,0.97,3.992,24000,3.5,realsense_detections3500
2025-04-08 16:18:17.655,27,209,0,409,120,0.97,3.999,24000,3.5,realsense_detections3500
2025-04-08 16:18:18.381,28,209,0,409,120,0.97,4.103,24000,3.5,realsense_detections3500
2025-04-08 16:18:19.048,29,209,0,409,120,0.97,3.973,24000,3.5,realsense_detections3500
2025-04-08 16:18:19.717,30,209,0,409,120,0.97,4.066,24000,3.5,realsense_detections3500
2025-04-08 16:18:20.439,31,209,0,408,120,0.97,4.011,23880,3.5,realsense_detections3500
2025-04-08 16:18:21.143,32,209,0,408,120,0.97,3.994,23880,3.5,realsense_detections3500
2025-04-08 16:18:21.818,33,209,0,409,120,0.97,4.008,24000,3.5,realsense_detections3500
2025-04-08 16:17:03.259,2,239,15,413,135,0.97,4.538,20880,4.0,realsense_detections4000
2025-04-08 16:17:03.971,3,241,16,415,137,0.96,4.638,21054,4.0,realsense_detections4000
2025-04-08 16:17:04.698,4,242,16,415,137,0.96,4.508,20933,4.0,realsense_detections4000
2025-04-08 16:17:05.398,5,242,15,416,135,0.96,4.715,20880,4.0,realsense_detections4000
2025-04-08 16:17:06.058,6,242,16,415,140,0.96,4.675,21452,4.0,realsense_detections4000
2025-04-08 16:17:06.765,7,241,15,415,136,0.96,4.622,21054,4.0,realsense_detections4000
2025-04-08 16:17:07.471,8,242,16,416,136,0.96,4.584,20880,4.0,realsense_detections4000
2025-04-08 16:17:08.162,9,241,15,415,137,0.96,4.573,21228,4.0,realsense_detections4000
2025-04-08 16:17:08.852,10,240,15,415,136,0.97,4.529,21175,4.0,realsense_detections4000
2025-04-08 16:17:09.604,11,240,15,414,136,0.97,4.665,21054,4.0,realsense_detections4000
2025-04-08 16:17:10.326,12,241,16,415,135,0.96,4.624,20706,4.0,realsense_detections4000
2025-04-08 16:17:11.018,13,241,15,415,138,0.96,4.579,21402,4.0,realsense_detections4000
2025-04-08 16:17:11.661,14,240,15,414,136,0.97,4.614,21054,4.0,realsense_detections4000
2025-04-08 16:17:12.338,15,240,15,415,136,0.97,4.52,21175,4.0,realsense_detections4000
2025-04-08 16:17:13.028,16,241,15,415,136,0.97,4.651,21054,4.0,realsense_detections4000
2025-04-08 16:17:13.688,17,241,15,415,136,0.96,4.792,21054,4.0,realsense_detections4000
2025-04-08 16:17:14.484,18,241,15,415,136,0.96,4.671,21054,4.0,realsense_detections4000
2025-04-08 16:17:15.226,19,241,16,415,139,0.96,4.666,21402,4.0,realsense_detections4000
2025-04-08 16:17:15.932,20,241,15,415,136,0.96,4.751,21054,4.0,realsense_detections4000
2025-04-08 16:17:18.170,21,241,15,415,138,0.96,4.597,21402,4.0,realsense_detections4000
2025-04-08 16:17:18.851,22,241,16,415,139,0.96,4.592,21402,4.0,realsense_detections4000
2025-04-08 16:17:19.554,23,241,16,415,137,0.96,4.674,21054,4.0,realsense_detections4000
2025-04-08 16:17:20.249,24,241,15,415,137,0.96,4.625,21228,4.0,realsense_detections4000
2025-04-08 16:16:36.177,2,245,39,399,150,0.96,5.148,17094,4.5,realsense_detections4500
2025-04-08 16:16:36.860,3,246,38,399,150,0.96,5.485,17136,4.5,realsense_detections4500
2025-04-08 16:16:37.557,4,245,38,399,149,0.96,5.517,17094,4.5,realsense_detections4500
2025-04-08 16:16:38.202,5,246,39,399,149,0.96,5.173,16830,4.5,realsense_detections4500
2025-04-08 16:16:38.845,6,245,38,399,149,0.96,5.253,17094,4.5,realsense_detections4500
2025-04-08 16:16:39.526,7,245,38,399,147,0.96,5.535,16786,4.5,realsense_detections4500
2025-04-08 16:16:40.208,8,245,38,399,150,0.96,5.379,17248,4.5,realsense_detections4500
2025-04-08 16:16:40.852,9,246,39,399,150,0.96,5.179,16983,4.5,realsense_detections4500
2025-04-08 16:16:41.551,10,246,39,399,147,0.96,5.102,16524,4.5,realsense_detections4500
2025-04-08 16:16:42.208,11,246,39,399,149,0.96,5.232,16830,4.5,realsense_detections4500
2025-04-08 16:16:42.882,12,246,39,399,148,0.96,5.209,16677,4.5,realsense_detections4500
2025-04-08 16:16:43.588,13,246,39,399,149,0.96,5.237,16830,4.5,realsense_detections4500
2025-04-08 16:16:44.293,14,246,39,399,147,0.96,5.204,16524,4.5,realsense_detections4500
2025-04-08 16:15:55.410,2,253,60,392,160,0.97,5.81,13900,5.0,realsense_detections5000
2025-04-08 16:15:56.162,3,253,60,393,160,0.97,5.788,14000,5.0,realsense_detections5000
2025-04-08 16:15:56.904,4,253,59,392,160,0.97,6.001,14039,5.0,realsense_detections5000
2025-04-08 16:15:57.624,5,253,60,393,160,0.97,5.747,14000,5.0,realsense_detections5000
2025-04-08 16:15:58.379,6,253,59,392,160,0.97,5.984,14039,5.0,realsense_detections5000
2025-04-08 16:15:59.092,7,253,59,392,160,0.97,6.074,14039,5.0,realsense_detections5000
