Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area,X,Y,Z_est,Distance_3D,Distance_RealSense,X_rel,Y_rel,Z_rel,Fixed_Angle,ground_truth,source_file
2025-04-10 11:18:20.452,2,256,57,396,155,0.96,13720,6,-86,2.17,86.24,6.297,6.0,-86.0,2.17,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:20.839,3,256,57,396,156,0.96,13860,6,-86,2.16,86.24,6.06,6.0,-86.0,2.16,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:21.093,4,255,57,396,155,0.96,13818,5,-85,2.16,85.17,6.165,5.0,-85.0,2.16,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:21.403,5,255,58,396,155,0.96,13677,5,-85,2.18,85.17,5.948,5.0,-85.0,2.18,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:21.745,6,255,58,396,155,0.96,13677,5,-85,2.18,85.17,5.932,5.0,-85.0,2.18,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:22.166,7,256,58,396,155,0.96,13580,6,-86,2.18,86.24,5.95,6.0,-86.0,2.18,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:22.530,8,256,58,396,155,0.96,13580,6,-86,2.18,86.24,6.013,6.0,-86.0,2.18,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:22.894,9,256,58,396,156,0.94,13720,6,-86,2.17,86.24,5.879,6.0,-86.0,2.17,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:23.193,10,255,58,396,156,0.85,13818,5,-85,13.0,86.13,5.963,5.0,-85.0,13.0,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:23.445,11,255,58,397,155,0.7,13774,6,-86,2.17,86.24,5.842,6.0,-86.0,2.17,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:23.695,12,255,58,397,155,0.59,13774,6,-86,2.17,86.24,6.056,6.0,-86.0,2.17,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:23.945,13,255,58,396,156,0.81,13818,5,-85,2.16,85.17,6.039,5.0,-85.0,2.16,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:24.290,14,256,58,396,156,0.82,13720,6,-86,2.17,86.24,6.07,6.0,-86.0,2.17,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:24.631,15,255,58,397,155,0.53,13774,6,-86,2.17,86.24,5.967,6.0,-86.0,2.17,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:24.970,16,255,58,396,156,0.83,13818,5,-85,2.16,85.17,5.953,5.0,-85.0,2.16,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:25.313,17,255,58,397,155,0.48,13774,6,-86,2.17,0.0,5.94,0.0,0.0,0.0,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:25.658,18,255,58,396,156,0.84,13818,5,-85,2.16,1.41,5.986,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:26.007,19,255,58,396,156,0.85,13818,5,-85,2.16,1.41,5.895,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:26.364,20,255,58,396,156,0.76,13818,5,-85,29.0,26.87,5.901,-1.0,1.0,26.83,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:26.704,21,255,58,397,156,0.66,13916,6,-86,2.16,0.01,5.991,0.0,0.0,-0.01,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:27.045,22,255,58,396,156,0.75,13818,5,-85,2.16,1.41,6.054,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:27.395,23,255,58,397,155,0.7,13774,6,-86,2.17,0.0,6.088,0.0,0.0,0.0,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:27.862,24,255,58,396,156,0.83,13818,5,-85,2.16,1.41,6.001,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:28.137,25,256,58,396,155,0.69,13580,6,-86,2.18,0.01,6.11,0.0,0.0,0.01,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:28.391,26,255,58,396,156,0.82,13818,5,-85,2.16,1.41,5.929,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:28.731,27,256,58,396,156,0.83,13720,6,-86,2.17,0.0,5.992,0.0,0.0,-0.0,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:29.041,28,255,58,396,155,0.66,13677,5,-85,2.18,1.41,5.899,-1.0,1.0,0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:29.395,29,255,58,397,155,0.52,13774,6,-86,2.17,0.0,6.093,0.0,0.0,0.0,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:29.829,30,255,58,396,156,0.85,13818,5,-85,13.0,10.92,5.885,-1.0,1.0,10.83,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:30.181,31,255,58,396,156,0.89,13818,5,-85,2.16,1.41,6.18,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:30.460,32,255,58,397,156,0.71,13916,6,-86,2.16,0.01,5.868,0.0,0.0,-0.01,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:30.740,33,255,58,396,156,0.73,13818,5,-85,2.16,1.41,5.937,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:30.994,34,255,58,397,156,0.68,13916,6,-86,2.16,0.01,5.917,0.0,0.0,-0.01,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:31.283,35,255,58,396,156,0.74,13818,5,-85,2.16,1.41,6.114,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:31.636,36,255,58,396,156,0.79,13818,5,-85,2.16,1.41,5.948,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:32.193,37,255,58,396,156,0.82,13818,5,-85,2.16,1.41,6.105,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:32.621,38,255,58,396,156,0.85,13818,5,-85,2.16,1.41,5.979,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:32.981,39,255,58,396,156,0.83,13818,5,-85,2.16,1.41,6.138,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:33.314,40,255,58,397,156,0.73,13916,6,-86,38.0,35.83,6.025,0.0,0.0,35.83,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:33.678,41,255,58,396,156,0.74,13818,5,-85,2.16,1.41,6.176,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:34.161,42,255,58,396,156,0.79,13818,5,-85,2.16,1.41,6.187,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:34.664,43,255,58,396,156,0.8,13818,5,-85,2.16,1.41,5.98,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:35.146,44,255,58,396,156,0.67,13818,5,-85,2.16,1.41,5.901,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:35.608,45,255,58,396,156,0.78,13818,5,-85,2.16,1.41,6.204,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:36.147,46,255,58,396,156,0.78,13818,5,-85,2.16,1.41,6.218,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:36.564,47,255,58,396,156,0.71,13818,5,-85,2.16,1.41,5.872,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:36.908,48,255,58,397,156,0.79,13916,6,-86,2.16,0.01,6.278,0.0,0.0,-0.01,86.01,5.0,camera_trackingHuman_5M
2025-04-10 11:18:37.309,49,255,58,396,156,0.83,13818,5,-85,2.16,1.41,5.974,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:37.640,50,255,58,396,156,0.79,13818,5,-85,23.0,20.88,5.999,-1.0,1.0,20.83,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:37.970,51,255,58,396,156,0.75,13818,5,-85,2.16,1.41,6.053,-1.0,1.0,-0.01,86.63,5.0,camera_trackingHuman_5M
2025-04-10 11:18:38.311,52,256,58,396,156,0.82,13720,6,-86,2.17,0.0,6.056,0.0,0.0,-0.0,86.01,5.0,camera_trackingHuman_5M
