Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area
2025-04-08 16:13:50.939,2,279,120,371,184,0.96,10.655,5888
2025-04-08 16:13:51.657,3,289,116,383,181,0.96,10.384,6110
2025-04-08 16:13:52.428,4,270,116,367,183,0.96,8.951,6499
2025-04-08 16:13:53.174,5,272,115,371,183,0.96,9.730,6732
2025-04-08 16:13:53.920,6,271,112,370,181,0.96,10.103,6831
2025-04-08 16:13:54.741,7,275,114,374,183,0.96,9.726,6831
2025-04-08 16:13:55.471,8,275,114,374,182,0.96,9.387,6732
2025-04-08 16:13:56.099,9,275,113,373,182,0.96,10.146,6762
2025-04-08 16:13:56.867,10,275,113,373,182,0.96,9.985,6762
2025-04-08 16:13:57.541,11,275,114,373,183,0.96,9.783,6762
2025-04-08 16:13:58.238,12,275,114,373,182,0.96,9.603,6664
2025-04-08 16:13:59.023,13,275,114,374,183,0.96,9.903,6831
2025-04-08 16:13:59.745,14,275,113,373,182,0.96,10.118,6762
2025-04-08 16:14:00.444,15,275,114,373,183,0.96,9.711,6762
2025-04-08 16:14:01.209,16,275,114,373,183,0.96,9.720,6762
