epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.402,1.05071,1.84823,0.83047,0.99244,0.98715,0.99368,0.83014,0.72341,1.39047,0.79894,0.00041351,0.00041351,0.00041351
2,625.914,0.8678,0.88738,0.81452,0.99215,0.996,0.99324,0.85032,0.64261,0.51577,0.78286,0.000789083,0.000789083,0.000789083
3,985.376,0.82345,0.71398,0.81053,0.99323,0.99774,0.99204,0.84724,0.62804,0.45919,0.77999,0.00112341,0.00112341,0.00112341
4,1328.58,0.80068,0.61572,0.80831,0.98977,0.9978,0.99143,0.82876,0.7293,0.4339,0.79528,0.00106437,0.00106437,0.00106437
5,1696.62,0.76571,0.55254,0.80596,0.99231,0.99726,0.9919,0.87236,0.53411,0.44287,0.77849,0.0010025,0.0010025,0.0010025
6,2015.61,0.70759,0.49226,0.79896,0.99086,0.9978,0.99227,0.85053,0.61258,0.36327,0.7811,0.000940625,0.000940625,0.000940625
7,2336.76,0.68399,0.46374,0.79903,0.99276,0.99737,0.99365,0.87332,0.53149,0.365,0.77534,0.00087875,0.00087875,0.00087875
8,2686.93,0.67611,0.43821,0.79621,0.99419,0.99716,0.99112,0.89414,0.47484,0.33156,0.76834,0.000816875,0.000816875,0.000816875
9,3040.18,0.65644,0.41083,0.79634,0.993,0.99803,0.99022,0.88668,0.49877,0.32549,0.77059,0.000755,0.000755,0.000755
10,3395.77,0.63686,0.38917,0.7903,0.9934,0.99642,0.98977,0.88301,0.47561,0.31531,0.76905,0.000693125,0.000693125,0.000693125
11,3708.62,0.59824,0.37807,0.79125,0.99362,0.99807,0.99258,0.9054,0.46481,0.32927,0.76665,0.00063125,0.00063125,0.00063125
