Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area,X,Y,Z_est,Distance_3D
2025-04-08 21:26:54.712,2,140,145,586,479,0.96,148964,43,-72,0.65,83.87
2025-04-08 21:26:54.910,3,139,145,586,479,0.96,149298,42,-72,0.65,83.36
2025-04-08 21:26:55.096,4,142,146,586,479,0.96,147852,44,-72,0.66,84.38
2025-04-08 21:26:55.293,5,142,146,585,479,0.96,147519,43,-72,0.66,83.87
2025-04-08 21:26:55.461,6,142,145,585,479,0.96,147962,43,-72,0.66,83.87
2025-04-08 21:26:55.628,7,142,145,585,479,0.96,147962,43,-72,0.66,83.87
2025-04-08 21:26:55.798,8,142,146,585,479,0.96,147519,43,-72,0.66,83.87
2025-04-08 21:26:55.963,9,142,145,585,479,0.96,147962,43,-72,0.66,83.87
2025-04-08 21:26:56.130,10,142,146,586,479,0.96,147852,44,-72,0.66,84.38
2025-04-08 21:26:56.297,11,142,146,586,479,0.96,147852,44,-72,0.66,84.38
2025-04-08 21:26:56.464,12,141,146,587,479,0.96,148518,44,-72,0.66,84.38
2025-04-08 21:26:56.629,13,141,145,587,479,0.96,148964,44,-72,0.65,84.38
2025-04-08 21:26:56.799,14,140,146,587,479,0.96,148851,43,-72,0.66,83.87
2025-04-08 21:26:56.968,15,141,146,587,479,0.96,148518,44,-72,0.66,84.38
2025-04-08 21:26:57.167,16,140,146,587,479,0.96,148851,43,-72,0.66,83.87
2025-04-08 21:26:57.332,17,141,146,587,479,0.96,148518,44,-72,0.66,84.38
2025-04-08 21:26:57.500,18,143,145,588,479,0.96,148630,45,-72,0.66,84.91
2025-04-08 21:26:57.667,19,144,146,588,479,0.96,147852,46,-72,0.66,85.44
2025-04-08 21:26:57.830,20,144,146,588,479,0.96,147852,46,-72,0.66,85.44
2025-04-08 21:26:57.997,21,144,144,588,479,0.96,148740,46,-71,0.65,84.60
2025-04-08 21:26:58.162,22,144,143,589,479,0.96,149520,46,-71,0.65,84.60
2025-04-08 21:26:58.329,23,144,143,589,479,0.96,149520,46,-71,0.65,84.60
2025-04-08 21:26:58.498,24,144,144,588,479,0.96,148740,46,-71,0.65,84.60
2025-04-08 21:26:58.664,25,144,144,588,479,0.96,148740,46,-71,0.65,84.60
2025-04-08 21:26:58.831,26,144,143,589,479,0.96,149520,46,-71,0.65,84.60
2025-04-08 21:26:58.996,27,145,143,590,479,0.96,149520,47,-71,0.65,85.15
2025-04-08 21:26:59.164,28,148,144,592,479,0.96,148740,50,-71,0.65,86.84
2025-04-08 21:26:59.334,29,152,145,597,479,0.96,148630,54,-72,0.66,90.00
2025-04-08 21:26:59.494,30,161,146,606,479,0.96,148185,63,-72,0.66,95.67
2025-04-08 21:26:59.666,31,178,150,619,479,0.95,145089,78,-74,0.66,107.52
2025-04-08 21:26:59.830,32,195,155,632,479,0.96,141588,93,-77,0.67,120.74
2025-04-08 21:26:59.999,33,211,160,639,479,0.96,136532,105,-79,0.68,131.40
2025-04-08 21:27:00.163,34,223,163,639,479,0.96,131456,111,-81,0.70,137.41
2025-04-08 21:27:00.330,35,236,165,639,479,0.96,126542,117,-82,0.71,142.88
2025-04-08 21:27:00.497,36,248,167,639,479,0.96,121992,123,-83,0.72,148.39
2025-04-08 21:27:00.667,37,255,169,639,479,0.96,119040,127,-84,0.73,152.27
2025-04-08 21:27:00.833,38,257,170,639,479,0.96,118038,128,-84,0.73,153.10
2025-04-08 21:27:01.000,39,257,169,639,479,0.95,118420,128,-84,0.73,153.10
2025-04-08 21:27:01.165,40,256,169,638,479,0.96,118420,127,-84,0.73,152.27
2025-04-08 21:27:01.334,41,255,169,638,479,0.96,118730,126,-84,0.73,151.43
2025-04-08 21:27:01.500,42,253,168,638,479,0.96,119735,125,-83,0.73,150.05
2025-04-08 21:27:01.666,43,253,169,639,479,0.96,119660,126,-84,0.73,151.43
2025-04-08 21:27:01.832,44,251,168,639,479,0.96,120668,125,-83,0.72,150.05
2025-04-08 21:27:02.000,45,251,168,639,479,0.96,120668,125,-83,0.72,150.05
2025-04-08 21:27:02.168,46,250,167,639,479,0.96,121368,124,-83,0.72,149.22
2025-04-08 21:27:02.332,47,248,167,638,479,0.96,121680,123,-83,0.72,148.39
2025-04-08 21:27:02.501,48,248,167,639,479,0.96,121992,123,-83,0.72,148.39
2025-04-08 21:27:02.664,49,247,166,639,479,0.96,122696,123,-82,0.72,147.83
